Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Social Beer Garden HTX,"3101 San Jacinto St, Houston, TX 77004",(713) 636-9357,https://www.socialbeergardenhtx.com/,socialbeergardenhtx@gmail.com,,4.7,2215,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8b12Ex2_QIYRMTefkQiQQPk
The Flat,"1701 Commonwealth St, Houston, TX 77006",(713) 360-7228,http://theflathouston.com/,djsun1@me.com,,4.5,1066,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJPyr-eKHAQIYROilNsV3MGsc
Hidden Bar,"2715 Bissonnet St Ste 160, Houston, TX 77005",(832) 649-2966,https://norigamihtx.com/custom-gutenberg-blocks/,,,4.7,94,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMwkErZDBQIYRDoO3RKVUbtg
Axelrad Beer Garden,"1517 Alabama St, Houston, TX 77004",(713) 597-8800,http://www.axelradhouston.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,drink@axelradbeergarden.com,,4.7,6559,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJDVq9HXO_QIYRAwpe106KY9w
Anvil,"1424 Westheimer Rd Ste B, Houston, TX 77006",,http://www.anvilhouston.com/,,,4.6,1902,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJGezjg57AQIYRiivaEi1eVko
Botanic Beer Garden,"1920 Houston Ave, Houston, TX 77007",(713) 343-3323,https://botanicbeergarden.com/,info@botanicbeergarden.com,The Coffee Garden,4.8,134,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJl_boWAC5QIYR_oxwtygXPac
Poison Girl,"1641 Westheimer Rd B, Houston, TX 77006",(713) 527-9929,http://poisongirlbar.com/,,,4.3,1285,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ6X4-2JvAQIYRULOxItmmvjE
Wild,"2121 N Shepherd Dr Suite C, Houston, TX 77008",(346) 571-0453,http://wildconcepts.com/,info@wildconcepts.com,,4.3,408,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJsStPF5THQIYRsbQ1RSlZm0U
Little Woodrow's Midtown,"2306 Brazos St, Houston, TX 77006",(713) 522-1041,https://littlewoodrows.com/locations/midtown/,,,4.4,2510,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJRyX63UG_QIYRBqWqUtl5rZU
Tom's Watch Bar,"1201 Caroline St Suite #161 [level G], Houston, TX 77002",(281) 619-1779,https://tomswatchbar.com/houston/,,,4.8,2066,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJw-5Jfk6_QIYR_kVQTT6npyA
Better Luck Tomorrow,"544 Yale St, Houston, TX 77007",(713) 802-0845,http://betterlucktomorrowhou.com/,,,4.5,1624,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJC925MFfHQIYRI9-2Xgc_im8
Trash Panda Drinking Club,"515 Patton St, Houston, TX 77009",(832) 582-5659,http://trashpandahtx.com/,,,4.6,441,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJj5VCGsO5QIYRgFl0OyZ2Bgk
Return to Sender,"401 Franklin St Suite 1350, Houston, TX 77201",(713) 502-0522,https://www.posthtx.com/eat/return-to-sender?y_source=1_MTAzMTk3MDUzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"hello@posthtx.com, %20hello@posthtx.com",profile No items found,4.4,125,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8xvgo-e_QIYRgMRwSJhdvlE
Privacy Houston,"2402 Austin St, Houston, TX 77004",(832) 713-8404,http://privacyhouston.com/,,,4.5,4150,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ56x4oX2_QIYRzYaPg7HLxpY
Truck Yard,"2118 Lamar St, Houston, TX 77003",(877) 447-2796,https://truckyard.com/houston/,,,4.6,3613,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQetHYR-_QIYR3I6bzAfXUD4
Angel Share,"924 Congress St, Houston, TX 77002",(713) 237-8828,http://angelsharehtx.com/,info@angelsharehtx.com,,4.8,192,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ58ibwCC_QIYRE79R1soMbe8
The Dirt Bar,"1209 Caroline St, Houston, TX 77002",(832) 623-6506,https://dirtbar.com/,,,4.4,918,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSXAUfVTHQIYRqTOFwt2BeiE
Z on 23,"1121 Walker St, Houston, TX 77002",(346) 330-3446,https://www.zon23rooftop.com/,,,4.1,1448,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJgffESzu_QIYR0wdGOdZLnOc
Rabbit's Got the Gun,"708 Hogan St, Houston, TX 77009",(346) 335-8367,,,,4.4,470,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJAf9RBd25QIYReXS_6jzqrtY
Clarkwood,"3201 Allen Pkwy Suite 190, Houston, TX 77019",(346) 506-1294,https://www.clarkwoodhtx.com/,,,4.4,1481,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTRJwFLfBQIYRFFrEEdIrlFc
The Red Lion Houston,"2316 S Shepherd Dr, Houston, TX 77019",(346) 354-6166,https://theredlionhouston.com/,,,4.4,2073,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ4SovtpXAQIYRDojXKe_T7qE
McElroy's Pub,"3607 S Sandman St, Houston, TX 77098",(713) 524-2444,https://www.mcelroyspub.com/,,,4.6,264,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZx7Ss43AQIYRUhhA0NmVBF0
Pimlico Irish Pub,"810 Waugh Dr, Houston, TX 77019",(713) 560-1721,https://pubhouston.com/,,,4.6,617,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJI6SQcqbAQIYRTZE-Fy5DNBw
Ducky McShweeney’s Pub,"2025 Post Oak Blvd Suite B, Houston, TX 77056",(346) 701-8147,https://duckymcshweeneyspub.com/,info@duckymcshweeneyspub.com,,4.5,620,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn7YCPuDBQIYRn2_oknao7F8
Rudyard's,"2010 Waugh Dr, Houston, TX 77006",(713) 993-6592,http://rudyardshtx.com/,rudzmgmt@hotmail.com,,4.5,1964,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ210pNaDAQIYRscZ9a_tToyo
Irish Pub Kenneally's,"2111 S Shepherd Dr, Houston, TX 77019",(713) 630-0486,http://www.irishpubkenneallys.com/,,,4.6,481,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZ_q2w5XAQIYR5pRo-tfuSYk
Shay McElroy's,"909 Texas Ave # A, Houston, TX 77002",(713) 223-2444,https://www.shaymcelroys.com/,,,4.4,379,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJO40StDq_QIYRSCG4YqTPDxc
McGonigel's Mucky Duck,"2425 Norfolk St, Houston, TX 77098",(713) 528-5999,https://www.mcgonigels.com/,theduck@mcgonigels.com,,4.7,1079,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJGTr7BfPAQIYRrzOZiA4tzEs
Bull and Bear Tavr'n & Table,"11980 Westheimer Rd Suite A, Houston, TX 77077",(281) 496-6655,https://thebullandbear-houston.com/,,,4.4,1105,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJWZVjTOzcQIYRwKSZNF3UvYQ
Finn MacCool’s Irish Bar,"1127 Eldridge Pkwy Suite 600, Houston, TX 77077",(832) 486-9725,https://finnmaccoolshtx.com/,"info@finnmaccoolshtx.com, filler@godaddy.com",,4.7,116,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJh9RgliPbQIYRMGrrDsjBn4Y
Hugh O'Connors,"7620 Katy Fwy #350, Houston, TX 77024",(832) 430-4961,https://hughoconnors.com/,,,4.7,803,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJt2czHa7HQIYR0N7zs6O4MWo
Ron's Pub,"1826 Fountain View Dr, Houston, TX 77057",(713) 977-4820,http://rons.pub/,,,4.4,542,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJ5aZW-bDQIYRMSIuBoE29c8
Watson's House of Ales,"14656 Grisby Rd, Houston, TX 77079",(281) 920-2929,https://www.watsonshouseofales.com/,,,4.3,2189,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJS2m-W-DbQIYRwpwJ6weMjwA
Underdogs Pub,"4212 Washington Ave, Houston, TX 77007",(713) 410-5660,,,,4.6,425,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYU-GRq3AQIYRRaNRhCw_Nes
Mo's Irish Pub,"138 Vintage Park Blvd, Houston, TX 77070",(281) 251-0715,https://mosirishpub.com/vintage-park/,booking@mosirishpub.com,,4.3,2446,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJvX7WLojSQIYRvYH5FtARRiU
Ashford pub,"13308 Westheimer Rd, Houston, TX 77077",(281) 679-6112,,,,4.4,383,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJsQu1fj_cQIYRk_WYMAw6tJo
Hugh O’Connors,"5010 Dincans St, Houston, TX 77005",,https://hughoconnors.com/,,,4.9,42,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJbYLiOwDBQIYRGZJ9N82a82o
Pimlico Irish Pub - Shady Acres,"2307 Ella Blvd, Houston, TX 77008",(713) 560-1721,https://pimlicopub.com/,,,4.7,43,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZX07LQDHQIYRFmrHsMELSnM
The Pub Fountains,"12720 US-59, Stafford, TX 77477",(281) 277-9333,http://www.pubfountains.com/,"manager@pubfountains.com, %20manager@pubfountains.com, info@pubfountains.com",,4.1,582,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSaiYruznQIYRkJ-coCH1w7k
Texas T Tavern,"77043 1535 Brittmoore Rd, Houston, TX 77043",(281) 501-8970,http://txttavern.com/,texasttavern14@gmail.com,,4.3,943,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJWzFbry_bQIYRfxOjpkwMRXU
Velvet Oak Tavern,"2221 W Alabama St, Houston, TX 77098",(281) 245-4561,http://velvetoaktavern.com/,,,4.4,279,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJN4xS92LBQIYR4SQUYDckIeg
Tipsy Tavern,"10400 S Post Oak Rd Unit E, Houston, TX 77035",(713) 485-6357,https://www.tipsytaverntx.com/,tipsytaverntx@gmail.com,,4.6,56,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhUUvfH7rQIYRyC5VRX6H7XY
Westchase Tavern,"1452 Wilcrest Dr, Houston, TX 77042",(713) 785-5567,,,,4.6,245,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJVycmcsvcQIYRcATKXICJMGE
Texas Tavern,"13800 Cypress North Houston Rd, Cypress, TX 77429",(281) 897-0828,http://www.thetexastavern.com/,,,4.4,300,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJsfjpQ-LTQIYRuitU_o2oRA4
Tiks Tavern,"11650 Jones Rd, Houston, TX 77070",(281) 477-3707,,,,4.5,271,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJu0Baa4vRQIYRgPs_5YxuqnM
Hearsay Tavern,"737 Preston St, Houston, TX 77002",(346) 613-2290,https://hearsaygastrolounge.com/,,,4.5,114,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJX67hAlK_QIYRQTUACzGEvDs
Tony's Tavern,"12779 Jones Rd #115, Houston, TX 77070",(281) 970-9707,,,,4.5,310,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJdZa7IyPSQIYRs1LHqe3AhCA
The Dog House Tavern,"2517 Bagby St, Houston, TX 77006",(713) 520-0108,,,,4.4,291,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ83Ac5Wm_QIYR_PDoY5ieA1Q
Nomad Tavern,"2133 Bingle Rd, Houston, TX 77055",(713) 443-8395,https://www.facebook.com/NomadTavern/,,,4.4,201,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQXX110rEQIYRXhUEX5CSixU
Darkhorse Tavern,"2207 Washington Ave, Houston, TX 77007",(713) 426-2442,https://www.gameday.bar/venues/darkhorse-tavern,,,4.5,186,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJaRAutU2_QIYR4ZeQ866adYY
Magnolia Tavern,"310 Milby St, Houston, TX 77003",(713) 319-7098,,,,4.6,87,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJh0IADGe9QIYRKsG9ruB59Co
Heights Bier Garten,"1433 N Shepherd Dr, Houston, TX 77008",(713) 505-1233,https://www.heightsbiergarten.com/,"info@heightsbiergarten.com, emily@tkirbygroup.com",,4.5,676,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJDRkVWKnHQIYRMzQfkeLz0uY
Heights Hideaway,"1040 W Cavalcade St, Houston, TX 77009",,https://heightshideaway.com/,,,4.8,66,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJX1AbYgC5QIYRQzkMMhIGFqc
Moonshine Deck,"1239 W 19th St, Houston, TX 77008",(713) 636-9877,https://www.moonshinedeck.com/,"event@moonshinedeck.com, michael@moonshinedeck.com",,4.2,961,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJkUVF2HjHQIYRuI8eww2Vb1s
Kanpai Club,"518 W 11th St Suite 500, Houston, TX 77008",(713) 393-7425,https://www.handohtx.com/kanpaiclub,,,4.7,143,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSzOo1D3HQIYR7m0MkdTIoR0
Kirby Ice House,"1421 N Loop W, Houston, TX 77008",(713) 684-2194,https://www.kirbyicehouse.com/,,,4.9,791,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJzX8C37THQIYRU8fMr5V2GhI
Shady Acres Saloon,"1115 W 19th St, Houston, TX 77008",(713) 534-1112,http://shadyacressaloon.com/,"booking@shadyacressaloon.com, amyjo@shadyacressaloon.com, mike@shadyacressaloon.com",,4.6,709,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJH2lpsvHHQIYRRT3XI8EFjKE
Heights & Co.,"1343 Yale St, Houston, TX 77008",,http://www.heightsandco.com/,,,4.1,366,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ32hjHZHHQIYR6QFVo1Ue3CI
Plume,"1100 W 23rd St Suite 150, Houston, TX 77008",(713) 485-6910,https://www.plumehtx.com/,info@plumehtx.com,,4.6,265,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYXEgMQDHQIYR8MEUcMdl6Lo
Eight Row Flint,"1039 Yale St, Houston, TX 77008",(832) 767-4002,https://www.agricolehospitality.com/eight-row-flint/,info@eightrowflint.com,,4.5,1452,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8amInl7HQIYREIERXZ4P3is
The Shiloh Club,"1321 Studewood St, Houston, TX 77008",(713) 880-2401,,,,4.4,345,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJfQT0p5i4QIYRCv1ezcJ8Q7k
RE:HAB Bar on the Bayou,"1658 Enid St, Houston, TX 77009",(713) 225-1668,,,,4.6,585,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJcwaNjsq4QIYRkx5iNWPzFc4
Carte Blanche,"2802 White Oak Dr Suite 100, Houston, TX 77007",(346) 618-6048,https://carteblanchehtx.com/,,,4.9,51,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJvcz_tp-5QIYR3_I1wF9DTyU
Austin's Backyard,"1221 W 20th St, Houston, TX 77008",(832) 472-5001,http://atxbackyard.com/,austinintheheights@yahoo.com,,3.9,1554,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQy8uAWrHQIYRLmz7Y2XvfJ0
Starduster Lounge,"3921 N Main St, Houston, TX 77009",,https://www.stardusterheights.com/,stardusterheights@gmail.com,,4.8,90,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJS_3OO3K5QIYRcew21Rp6wxk
Tikila's,"2708 N Shepherd Dr, Houston, TX 77008",(713) 485-0211,http://www.tikilashtx.com/,info@tikilashtx.com,,4.3,691,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJkflWJ_nHQIYRcb0ZCIHyG1Y
Best Regards,"222 W 11th St, Houston, TX 77008",(832) 948-0059,https://www.bestregardshou.com/,management@bestregardshou.com,,4.1,415,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJLxAc--LHQIYRi4utiYoJ528
Benny Thunders,"605 Columbia St, Houston, TX 77007",(713) 485-0938,http://www.bennythunders.com/,info@bennythunders.com,,4.7,153,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJxd8f8mO5QIYR75HpV124p4Y
Wicklow Heights,"1027 W 19th St, Houston, TX 77008",(713) 874-8441,https://www.wicklowheights.com/,,,4.5,530,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn8UI_BLHQIYRykvOWua1jD8
Porch Swing Pub,"69 Heights Blvd, Houston, TX 77007",(713) 880-8700,http://www.porchswingpub.com/,,is encouraged to contact the administrator to discuss the matter further and take the necessary step,4.3,705,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJRSJhFavAQIYRTADtWb-sClA
Postino Heights,"642 Yale St, Houston, TX 77007",(346) 223-1111,https://www.postino.com/locations/postino-heights,heights@postino.com,,4.6,1709,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJFxUuWFfHQIYROuX2jeQKPUE
Kroger Bar - Cork & Tap,"1035 N Shepherd Dr, Houston, TX 77008",(713) 880-4496,https://www.kroger.com/storeHours?store=03400312,,,5,10,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJKZ6DOUHHQIYR8KmBkh7uUuo
The Rabbit Hole,"740 W 25th St, Houston, TX 77008",,https://rabbithole-htx.com/,,,4.7,60,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJV3TU4NTHQIYRTcKcTZ3O52g
McIntyre's Heights,"1230 W 20th St, Houston, TX 77008",(713) 333-5531,https://mcintyresusa.com/houston-heights/,,,4.3,1148,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9RFboxHHQIYR1iItFXZPW2g
The Post Beer & Wine Garden,"6417 N Main St, Houston, TX 77009",(713) 489-3723,https://thepostbwg.com/,thepostbwg@gmail.com,,4.6,291,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJD3vRfW25QIYRj4eAThKTjkY
Christian's Tailgate Bar & Grill,"2820 White Oak Dr, Houston, TX 77007",(713) 863-1207,http://www.christianstailgate.com/,info@christianstailgate.com,,4.2,1843,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYRMEwai4QIYRSsz-VR8Vhmw
Cedar Creek,"1034 W 20th St, Houston, TX 77008",(713) 808-9623,https://www.cedarcreekcafe.com/,,,4.3,3475,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJqUzfWBLHQIYRdu5Oum9U1s0
Bobcat Teddy's Icehouse,"2803 White Oak Dr, Houston, TX 77007",(832) 742-5535,https://bobcat-teddys-icehouse.business.site/,,,4.5,537,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJ3uvMq-4QIYRh9GNviXnj-s
Hughie's Tavern & Viet Grill,"633 Heidrich St, Houston, TX 77018",(281) 888-9415,http://www.hughiesgrille.com/,,,4.6,1205,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJdXnGgZe4QIYRNWXO6x5xNJQ
Heights Drive Inn,"6714 N Main St, Houston, TX 77009",(832) 203-7763,,,,4.5,135,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJlexI5u65QIYRqbteOYcEfdo
NettBar Shady Acres,"1717 W 22nd St, Houston, TX 77008",(832) 767-4914,https://nettbarhouston.com/shady-acres/,,,4.6,182,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJb7kwCrjHQIYR1O7E6u5PC_Y
Little Woodrow's Heights,"2631 White Oak Dr, Houston, TX 77009",(713) 861-2653,https://littlewoodrows.com/locations/heights/,,,4.3,492,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJs9oVGK-4QIYRT6gl89HepL4
Wonder Bar,"2416 Brazos St, Houston, TX 77006",(281) 910-2334,http://wonderbarhtx.com/,kendall@77-degrees.com,,3.4,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ3c9BAmq_QIYRp6AjcVIwolA
Leon's Lounge,"1006 McGowen St, Houston, TX 77002",(713) 650-1006,http://leonslounge.com/,,,4.4,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJoTArRmu_QIYRZQlKB2q3qHI
Wooster's Garden,"3315 Milam St, Houston, TX 77006",(713) 520-0015,https://www.woostersgarden.com/,"info@bayouheightsbiergarten.com, emily@tkirbygroup.com",,4.5,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJO91Qkm6_QIYRyk_9LtAZgXg
Alley Kat,"3718 Main St, Houston, TX 77002",(713) 874-0722,https://www.instagram.com/alleykathou?igsh=MWk4NzEzY3BuczJjcg==,,,4.4,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJd_QQJG6_QIYRzT2f13yGDeI
The Boulevard,"1916 Baldwin St, Houston, TX 77002",(346) 223-2922,https://www.theboulevard.info/,contact@theboulevard.info,,4.9,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZ-D5n5C_QIYR-FC-CXJajKM
Pour Behavior,"2211 Travis St, Houston, TX 77002",(833) 623-4283,https://www.pourbehaviortx.com/,,,4.1,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ7z53-Tq_QIYRj44QVFvsd70
