Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Channelview Corner Store,"3702 East Sam Houston Pkwy N, Houston, TX 77015",(713) 450-1081,,,,4.1,62,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJu9xjkwmkQIYRRetPHDb7iLk
24/7StopNGo,"2004 Houston Ave Unit, Houston, TX 77007",(832) 742-8165,,,,4.4,34,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJqdmVicq4QIYRR6rYvThO-mY
OneStop1 Store,"6154 Bellfort Ave #5, Houston, TX 77033",(713) 733-2850,,,,4,68,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJixlYz7GVQIYRrwsrkKrnOlY
Corner Food Mart,"7152 Parker Rd, Houston, TX 77016",(713) 633-5660,,,,0.0,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ6bKFWAW6QIYR0RvaY9wGZAs
Snackr,"17950 North Fwy, Houston, TX 77090",(832) 827-4292,https://snackr.co/,,,5,41,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ64tG6JfLQIYRzxS8Oi97jsw
Pleasant food mart,"7302 Tierwester St, Houston, TX 77021",(713) 748-2155,,,,3.9,84,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJDSvL2t2_QIYRPAWr7sx_qvI
Korner Food Mart,"13150 Bissonnet St, Houston, TX 77099",(281) 568-5613,,,,3,4,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJDVg0UYXdQIYRlwO7x-Q1hyI
Super K Food Stores,"9010 Beechnut St, Houston, TX 77036",(713) 270-7558,,,,3.8,11,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJl-6NeL7CQIYRm7driixN5jc
Post Oak Corner Store,"13501 S Post Oak Rd, Houston, TX 77045",(713) 434-1027,,,,4.4,5,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJiV_LzczrQIYRlV2tfhKY-y0
Omaha Mini Mart,"2405 Kelley St, Houston, TX 77026",(713) 884-8883,,,,3.7,26,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJx_1NGAS5QIYRnumby5p6NuI
Central Market,"3815 Westheimer Rd, Houston, TX 77027",(713) 386-1700,https://www.centralmarket.com/locations/houston?utm_source=google&utm_medium=organic&utm_campaign=cm_stores,,,4.6,5445,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ0X3WfRnBQIYRMuf-5lFGyGA
Phoenicia Specialty Foods,"1001 Austin St, Houston, TX 77010",(832) 360-2222,http://www.phoeniciafoods.com/locations/downtown-market/,,,4.6,2413,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMySlQyO_QIYRfT2Tz0HkWDw
Whole Foods Market,"701 Waugh Dr, Houston, TX 77019",(713) 284-1260,https://www.wholefoodsmarket.com/stores/montrose?utm_source=google&utm_medium=organic&utm_campaign=listings,wfm.alumnitms@wholefoods.com,,4.4,2348,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJV3QKGabAQIYRCs-Qq2B_pD8
Trader Joe's,"2922 S Shepherd Dr, Houston, TX 77098",(713) 526-4034,https://locations.traderjoes.com/tx/houston/426/?utm_source=gmb&utm_medium=organic&utm_campaign=local,,,4.7,4147,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJXfdnyZPAQIYRaa5TXKjPa0U
Randalls,"2225 Louisiana St, Houston, TX 77002",(713) 331-1042,https://local.randalls.com/tx/houston/2225-louisiana-st.html,,,4.1,2893,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJr2DGnWq_QIYRrdJlcOD0D50
