Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Gardner Hotel & Hostel,"311 E Franklin Ave, El Paso, TX 79901",(915) 532-3661,http://www.gardnerhotel.com/,,,4.2,553,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYViCBv5Y54YRXTXk5UX1Cuc
Extend-a-Suites UTEP,"500 Executive Center Blvd, El Paso, TX 79902",(915) 532-8981,https://www.extendasuites.com/extend-a-suites-el-paso,info@extendasuites.com,,3.2,144,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1xAyNRdY54YRDmZOqUvUOAA
Palace Inn Blue El Paso,"8778 Gtwy Blvd E, El Paso, TX 79907",(915) 502-8778,https://www.palaceinnblueelpaso.com/,palaceinn.ep@gmail.com,,4.6,494,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJK6AZx8ND54YR7ufUmGRrbL8
Budget Lodge Motel,"1301 N Mesa St, El Paso, TX 79902",(915) 533-6821,http://budgetlodgemotel.com/,budgetlodgemotel@outlook.com,,3.9,209,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJgVUcEVZY54YRv7JWA8FXoFw
Cortez Motel,"7174 Alameda Ave, El Paso, TX 79915",(915) 772-2068,http://cortezmotel.com/,cortezelpaso@gmail.com,,3.2,98,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJHUC6w3Zb54YRrIIjBH0CwV8
Colonia Motor Hotel,"8601 Dyer St, El Paso, TX 79904",(915) 755-7621,https://us2.cloudbeds.com/reservation/HeQ4x6,,,3.0,145,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJt--_LNRQ54YRll06pyvHuPQ
"Catalina Motel Corpus Christi, Texas","4333 Ocean Dr, Corpus Christi, TX 78412",(361) 855-7331,http://catalinatx.com/,,,3.3,360,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZyYMMVpfaIYRFzzlbwb2xcI
Sea Shell Inn Motel - Corpus Christi Beach,"202 Kleberg Pl, Corpus Christi, TX 78402",(361) 888-5391,http://reservation.asiwebres.com/SearchAvailability.aspx?id=568E303C59394286A368E34A890E0F1F,,,3.5,1016,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJI7UjEIJeaIYRHbITEAhNbIw
Budget Inn and Suites Corpus Christi,"801 S Shoreline Blvd, Corpus Christi, TX 78401",(361) 884-2485,https://www.budgetinnshoreline.com/,abudget21@yahoo.com,,3.8,326,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJwxHk41deaIYRKz_Er5zwTBA
Safari Inn Motel,"3640 Leopard St, Corpus Christi, TX 78408",(361) 884-2714,https://safariinncorpuschristitx.com/,safaricc3640@gmail.com,,3.0,136,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJM6X32hheaIYRnonSVBP1clE
"Hotel De Ville Corpus Christi, TX","3500 Surfside Blvd, Corpus Christi, TX 78402",(361) 882-3500,http://www.hoteldevillecc.com/,frontdeskdeville@gmail.com,,4.0,752,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1xuY_ClcaIYRieDaZrIzBKY
Texan Hotel,"5525 Leopard St, Corpus Christi, TX 78408",(361) 452-0066,https://www.facebook.com/texanhotel/,,,4.5,116,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ_dUynRdhaIYRmBxTtYZ7aJo
Conn Brown Harbour Inn Aransas Pass Corpus Christi,"500 E Goodnight Ave, Aransas Pass, TX 78336",(276) 260-5586,https://www.oyorooms.com/us/330798/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_APS003,,,3.0,28,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJa6I7JlxSaIYR63tUZ7SQc7E
Valley Motel Corpus Christi Near Airport I 37,"5300 Leopard St, Corpus Christi, TX 78408",(361) 289-5050,https://expedia.com/affiliate/XF9Nbgi,,,2.9,167,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9XPTbb9gaIYRw1tYLFzSsoc
SE'Air Motel,"946 Recreation Dr, Corpus Christi, TX 78418",(347) 223-5309,https://www.oyorooms.com/us/328262/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_CCI019,,,3.9,119,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZZd_0mf3aIYRzXlD7prWH88
Palm Bliss Hotel Corpus Christi South,"6225 S Padre Island Dr, Corpus Christi, TX 78412",(361) 991-5730,https://www.palmblisshotelcorpuschristitx.com/,"hotelpalmbliss6225+web@gmail.com, %20hotelpalmbliss6225+web@gmail.com",,2.6,1392,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn9KIZ9z1aIYRB_uujf8XHHo
Regency Inn,"3101 Surfside Blvd, Corpus Christi, TX 78402",(361) 887-1010,http://regencyinncorpuschristi.com/,,,3.2,341,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9SFDn4FeaIYRA6k61nzjHZk
Sea Breeze RV Community/Resort,"1026 Sea Breeze Ln, Portland, TX 78374",(361) 643-0744,http://seabreezerv.com/?utm_source=NEXT&utm_medium=Google_website,,,4.2,555,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJw7rhUmRbaIYRYHaTREhjUvA
Dome Dudes Motel and RV Park,"101 Linda Kay Ln, Aransas Pass, TX 78336",(361) 658-5436,http://inglesiderental.com/,,,4.2,54,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn3OsLeJPaIYRoyCwLHWxXZg
Villa Bay Motel,"622 N Commercial St, Aransas Pass, TX 78336",(361) 446-3719,http://angelestates.net/,angelestates.business@gmail.com,,3.7,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJk_NiCGNSaIYRpKc4PQGTdd4
Hotel Aransas Pass/Corpus Christi TX-35,"1515 W Wheeler Ave, Aransas Pass, TX 78336",(361) 758-3213,https://www.oyorooms.com/192136/,,,3.4,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJW-tFhhJSaIYREwGIhcgYVaI
Hunt's Castle Waterfront Resort,"725 S Water St, Rockport, TX 78382",(361) 729-2273,https://huntscastle.com/,huntscastle@yahoo.com,Special Starting September,3.2,608,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJHUcf5HizaYYRJnNKzKIVGzM
Village Inn Motel Rockport near Aransas Bay,"503 N Austin St, Rockport, TX 78382",(361) 729-6370,https://villageinnmotelrockporttx.com/,,,4.2,285,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJCa3VeoC0aYYR6UG3f2eFoAY
Harbour Inn,"209 N Austin St, Rockport, TX 78382",(361) 450-0107,http://harbourinnrockport.us/,,was super nice,4.0,227,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQwtO4n-zaYYRz4YCA5hwme8
Bayfront Cottages,"309 Fulton Beach Rd, Rockport, TX 78382",(361) 729-6693,http://www.bayfrontcottagesrockport.us/,,,3.2,301,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMbgXJkS0aYYRplGgWfgTX04
Blue Wave Inn,"1212 E Laurel St, Rockport, TX 78382",(361) 729-6379,https://www.therockportbeachhouse.com/,,was pleasant and we got clean towels daily,4.1,315,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJd3ZM360aYYRr4l-gS62thw
The Inn At Fulton Harbor,"215 N Fulton Beach Rd, Fulton, TX 78358",(361) 790-5888,http://www.innatfultonharbor.com/,,,4.6,326,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1UAm3060aYYRKYzMoFK_pFs
D&R Pelican Bay Resort Inc.,"4206 TX-35, Rockport, TX 78382",(361) 729-7177,http://www.pelicanbayresort.com/,info@pelicanbayresort.com,,4.5,549,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJW04xG661aYYRrNlWuT9jBBE
Reel ‘em Inn Rockport,"1603 S Water St, Rockport, TX 78382",(361) 558-5200,http://reeleminnrockport.com/,"events@reeleminnrockport.com, media@reeleminnrockport.com, stay@reeleminnrockport.com",,4.5,179,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYd_Cz3OzaYYRXsMIMJdYyo4
The Lighthouse Inn at Aransas Bay,"200 Fulton Beach Rd, Rockport, TX 78382",(361) 790-8439,http://www.lighthousetexas.com/,info@lighthousetexas.com,,4.5,775,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJFSRC5EW0aYYR-sQXwGFMSJE
Motel Miya,"907 S Church St, Rockport, TX 78382",(361) 450-7440,https://motelmiya.com/,,,4.9,16,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJW6vjOdKzaYYR8MUiXWvFZOU
The Oasis Resort of Rockport Inc.,"2121 FM3036, Rockport, TX 78382",(361) 230-5599,https://oasisresortrockport.com/,,,4.4,23,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJbT0D1q21aYYRD-JgTBnORYA
"Ocean's Edge Hotel, Port Aransas,TX","300 W Avenue G, Port Aransas, TX 78373",(361) 749-6427,https://www.oceansedgehoteltx.com/,oceansedgehotel@gmail.com,,4.1,877,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTVWI5GaraYYR3riM8KZE5Ic
Captain's Quarters Inn,"235 W Cotter Ave, Port Aransas, TX 78373",(361) 749-6005,https://www.captainsquartersinntx.com/,,,3.8,736,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSXyjd2KraYYR3CEuncvCzy4
Americas Best Value Inn Port Aransas,"306 S Alister St, Port Aransas, TX 78373",(361) 749-5450,https://www.sonesta.com/americas-best-value-inn/tx/port-aransas/americas-best-value-inn-port-aransas?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,3.7,416,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJuQBiFGSraYYRRMrC4UHMYxY
The Island Hotel,"2607 TX-361, Port Aransas, TX 78373",(361) 749-8200,https://www.islandhotelportaransastx.com/,,,4.0,710,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJIbizukCraYYRJ_adpKxEQvM
Rahi Motel and Cottages,"2112 TX-35 BUS, Aransas Pass, TX 78336",(361) 226-1197,https://rahicottages.com/,rahicottages@gmail.com,,3.2,122,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJlW96QWRNaIYRZJMQmMnr-JA
Plantation Suites & Conference Center,"1909 TX-361, Port Aransas, TX 78373",(361) 749-3866,https://plantationsuites.com/,frontdesk.plantationsuites@gmail.com,,3.8,780,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ3RJjv0CraYYRVSLnjL_ThtU
Americas Best Value Inn Kingsville,"2402 E King Ave, Kingsville, TX 78363",(361) 595-5656,https://www.sonesta.com/americas-best-value-inn/tx/kingsville/americas-best-value-inn-kingsville?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,3.7,327,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhWXXVZ0oZoYRAtfB9iEZh9s
Executive Inn,"2203 E King Ave, Kingsville, TX 78363",(361) 595-7700,http://executiveinnkingsville.com/,,,3.4,59,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJM-PCeicmZoYRfAQVAbrPtY0
Americas Best Value Inn Bishop Kingsville,"715 US-77, Bishop, TX 78343",(361) 584-4444,https://www.sonesta.com/americas-best-value-inn/tx/bishop/americas-best-value-inn-bishop-kingsville?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,4.0,179,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ6ad6ytYpZoYRrRwUGauY-Xc
Sunset Motel,"805 N Johnson St, Alice, TX 78332",(361) 664-6534,http://sunset-motel-alice.poi.place/,,,3.9,36,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJk46SKLbLZ4YRx2L66co-lfM
Freer Executive Inn and Studios,"1104 E Riley St, Freer, TX 78357",(361) 394-6191,https://executiveinnfreer.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile,"hello@yourmail.tld, support@yourdomain.tld",,4.3,106,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ3QddNxm7uIcR3aQMYMrMWmw
