Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
"Catalina Motel Corpus Christi, Texas","4333 Ocean Dr, Corpus Christi, TX 78412",(361) 855-7331,http://catalinatx.com/,,,3.3,360,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZyYMMVpfaIYRFzzlbwb2xcI
Sea Shell Inn Motel - Corpus Christi Beach,"202 Kleberg Pl, Corpus Christi, TX 78402",(361) 888-5391,http://reservation.asiwebres.com/SearchAvailability.aspx?id=568E303C59394286A368E34A890E0F1F,,,3.5,1016,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJI7UjEIJeaIYRHbITEAhNbIw
Budget Inn and Suites Corpus Christi,"801 S Shoreline Blvd, Corpus Christi, TX 78401",(361) 884-2485,https://www.budgetinnshoreline.com/,abudget21@yahoo.com,,3.8,326,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJwxHk41deaIYRKz_Er5zwTBA
Safari Inn Motel,"3640 Leopard St, Corpus Christi, TX 78408",(361) 884-2714,https://safariinncorpuschristitx.com/,safaricc3640@gmail.com,,3.0,136,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJM6X32hheaIYRnonSVBP1clE
"Hotel De Ville Corpus Christi, TX","3500 Surfside Blvd, Corpus Christi, TX 78402",(361) 882-3500,http://www.hoteldevillecc.com/,frontdeskdeville@gmail.com,,4.0,752,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1xuY_ClcaIYRieDaZrIzBKY
Texan Hotel,"5525 Leopard St, Corpus Christi, TX 78408",(361) 452-0066,https://www.facebook.com/texanhotel/,,,4.5,116,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ_dUynRdhaIYRmBxTtYZ7aJo
Conn Brown Harbour Inn Aransas Pass Corpus Christi,"500 E Goodnight Ave, Aransas Pass, TX 78336",(276) 260-5586,https://www.oyorooms.com/us/330798/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_APS003,,,3.0,28,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJa6I7JlxSaIYR63tUZ7SQc7E
Valley Motel Corpus Christi Near Airport I 37,"5300 Leopard St, Corpus Christi, TX 78408",(361) 289-5050,https://expedia.com/affiliate/XF9Nbgi,,,2.9,167,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9XPTbb9gaIYRw1tYLFzSsoc
SE'Air Motel,"946 Recreation Dr, Corpus Christi, TX 78418",(347) 223-5309,https://www.oyorooms.com/us/328262/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_CCI019,,,3.9,119,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZZd_0mf3aIYRzXlD7prWH88
Palm Bliss Hotel Corpus Christi South,"6225 S Padre Island Dr, Corpus Christi, TX 78412",(361) 991-5730,https://www.palmblisshotelcorpuschristitx.com/,"hotelpalmbliss6225+web@gmail.com, %20hotelpalmbliss6225+web@gmail.com",,2.6,1392,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn9KIZ9z1aIYRB_uujf8XHHo
Regency Inn,"3101 Surfside Blvd, Corpus Christi, TX 78402",(361) 887-1010,http://regencyinncorpuschristi.com/,,,3.2,341,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9SFDn4FeaIYRA6k61nzjHZk
Sea Breeze RV Community/Resort,"1026 Sea Breeze Ln, Portland, TX 78374",(361) 643-0744,http://seabreezerv.com/?utm_source=NEXT&utm_medium=Google_website,,,4.2,555,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJw7rhUmRbaIYRYHaTREhjUvA
Dome Dudes Motel and RV Park,"101 Linda Kay Ln, Aransas Pass, TX 78336",(361) 658-5436,http://inglesiderental.com/,,,4.2,54,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn3OsLeJPaIYRoyCwLHWxXZg
Villa Bay Motel,"622 N Commercial St, Aransas Pass, TX 78336",(361) 446-3719,http://angelestates.net/,angelestates.business@gmail.com,,3.7,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJk_NiCGNSaIYRpKc4PQGTdd4
Hotel Aransas Pass/Corpus Christi TX-35,"1515 W Wheeler Ave, Aransas Pass, TX 78336",(361) 758-3213,https://www.oyorooms.com/192136/,,,3.4,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJW-tFhhJSaIYREwGIhcgYVaI
Hunt's Castle Waterfront Resort,"725 S Water St, Rockport, TX 78382",(361) 729-2273,https://huntscastle.com/,huntscastle@yahoo.com,Special Starting September,3.2,608,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJHUcf5HizaYYRJnNKzKIVGzM
Village Inn Motel Rockport near Aransas Bay,"503 N Austin St, Rockport, TX 78382",(361) 729-6370,https://villageinnmotelrockporttx.com/,,,4.2,285,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJCa3VeoC0aYYR6UG3f2eFoAY
Harbour Inn,"209 N Austin St, Rockport, TX 78382",(361) 450-0107,http://harbourinnrockport.us/,,was super nice,4.0,227,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQwtO4n-zaYYRz4YCA5hwme8
Bayfront Cottages,"309 Fulton Beach Rd, Rockport, TX 78382",(361) 729-6693,http://www.bayfrontcottagesrockport.us/,,,3.2,301,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMbgXJkS0aYYRplGgWfgTX04
Blue Wave Inn,"1212 E Laurel St, Rockport, TX 78382",(361) 729-6379,https://www.therockportbeachhouse.com/,,was pleasant and we got clean towels daily,4.1,315,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJd3ZM360aYYRr4l-gS62thw
The Inn At Fulton Harbor,"215 N Fulton Beach Rd, Fulton, TX 78358",(361) 790-5888,http://www.innatfultonharbor.com/,,,4.6,326,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1UAm3060aYYRKYzMoFK_pFs
D&R Pelican Bay Resort Inc.,"4206 TX-35, Rockport, TX 78382",(361) 729-7177,http://www.pelicanbayresort.com/,info@pelicanbayresort.com,,4.5,549,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJW04xG661aYYRrNlWuT9jBBE
Reel ‘em Inn Rockport,"1603 S Water St, Rockport, TX 78382",(361) 558-5200,http://reeleminnrockport.com/,"events@reeleminnrockport.com, media@reeleminnrockport.com, stay@reeleminnrockport.com",,4.5,179,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYd_Cz3OzaYYRXsMIMJdYyo4
