Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Way Side Inn by Hotel O Dallas near Fair Park Downtown,"2600 S Cesar Chavez Blvd, Dallas, TX 75215",(713) 936-0341,https://www.oyorooms.com/us/324407/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_DLS163,,,3,91,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTflwCuCYToYR9gR3hvAMsAc
Trinity Suites Downtown Dallas,"1126 E 8th St, Dallas, TX 75203",(214) 942-3872,https://facebook.com/trinitysuites/,,,3.3,331,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJD43MZqSZToYRw_Y_Dkfw8V0
SOVA Micro-Room & Social Hotel,"2105 Commerce St, Dallas, TX 75201",(682) 626-6643,https://sovahotels.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_button,info@sovahospitality.com,,4.6,921,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhXGvHOCYToYRBmhQFGfwBDk
Dallas Love Field Inn,"1550 Empire Central Dr, Dallas, TX 75235",(214) 638-5151,http://www.dallaslovefieldinn.us/,,,2.4,1129,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJsVQKi_KdToYRZC3pfL8kPhc
Welcome Inn Dallas,"3243 Merrifield Ave, Dallas, TX 75223",(214) 826-3510,http://www.welcomeinndallas.net/,,,3.3,570,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJi9T23hGiToYRAOv7sIo9Kmw
Amyfinehouse Luxury Downtown Stay,"500 S Ervay St, Dallas, TX 75201",(469) 642-8868,https://amyfinehouse.com/,,,4.6,589,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJoypulB6ZToYRwosc2x44jHY
Magnolia Dallas Downtown,"1401 Commerce St, Dallas, TX 75201",(214) 915-6500,https://magnoliahotels.com/dallas-downtown/?utm_source=local&utm_medium=organic&utm_campaign=gmb,,,3.9,2835,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJEceT6RiZToYRamCabf48B6k
Palace Suites,"3422 Samuell Blvd, Dallas, TX 75223",(214) 826-5700,https://www.downtownsuitesdallascottonbowl.top/,,,3.7,286,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJU_opoRGiToYRXa3voD0f_IY
Fairmont Dallas,"1717 N Akard St, Dallas, TX 75201",(214) 720-2020,https://www.fairmont.com/dallas/?goto=fiche_hotel&code_hotel=A558&merchantid=seo-maps-US-A558&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,dallas@fairmont.com,,4.4,5872,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJzZ8OFSOZToYR8E34w1-AprA
Stay Express Inn,"8303 E R L Thornton Fwy, Dallas, TX 75228",(214) 324-3731,https://www.stayexpress.com/,,,3.3,0,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJi6brHM-jToYROf_iacBNc9g
