Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Americas Best Value Inn Longview,"3100 Estes Pkwy, Longview, TX 75602",(903) 758-4322,https://www.sonesta.com/americas-best-value-inn/tx/longview/americas-best-value-inn-longview?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,3,201,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ64JsqQBINoYRkbzDLqCNl3c
Majestic Inn,"1409 E Marshall Ave, Longview, TX 75601",(903) 753-8454,http://majesticinnlongview.com/,,,3.8,205,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJBzIUv3pHNoYRiGmHXd2ccHg
Contessa Inn,"717 TX-31, Longview, TX 75604",(903) 757-8887,https://www.studio6.com/en/home/motels.tx.longview.5155.html?lid=Local_Milestone_5155&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W&utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,,,3.3,252,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJAVJ0clg4NoYRuRczwDuEAz4
HomeTown Inn & Suites,"2700 N Eastman Rd, Longview, TX 75605",(903) 758-4443,https://www.hometowninnsuiteslongviewtx.com/,,,3.7,194,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9bGyMFFHNoYRNMJEVBeycLw
Garner Hotel Longview South,"900 S Access Rd, Longview, TX 75602",(903) 247-3000,https://www.ihg.com/garner-hotels/hotels/us/en/longview/ggglg/hoteldetail,,,4.1,546,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJxWBE-N9HNoYRJr5n_krxZ4k
Executive Inn Longview Texas,"1905 E Marshall Ave, Longview, TX 75601",(903) 234-2920,http://www.executiveinnlongviewtx.com/,,,3.8,140,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1-LpGHJHNoYR41nkz3eMt_E
Americas Best Value Inn Marshall,"100 I-20, Marshall, TX 75672",(903) 927-1718,https://www.sonesta.com/americas-best-value-inn/tx/marshall/americas-best-value-inn-marshall?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,2.9,294,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJPbXTH9lPLoYRnpgM2whaVf8
Texas Inn,"1100 E End Blvd S, Marshall, TX 75670",(903) 938-4333,http://www.texasinnmotelmarshall.us/,,,4.2,117,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ3byMFYz2NoYRp2SIYEJHBuA
Roseville Bed & Breakfast,"6843 US-80 W, Marshall, TX 75670",(903) 935-5000,http://rosevillebedandbreakfast.com/,,,4.9,69,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJK8kKDRdZNoYRzFKJwJWkVzQ
Wisteria Garden B & B,"215 E Rusk St, Marshall, TX 75670",(903) 240-8390,http://www.wisteriagarden.com/,,,5,17,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ65V593n2NoYRUV8NtY07SNk
Sunriser Inn,"4312 TX-42, Kilgore, TX 75662",(903) 983-2975,https://www.sunriserinn.com/,,,4,103,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJcTRz9mExNoYRpG7dYYJ_YCY
Regency Inn,"1009 E Broadway Ave, Gladewater, TX 75647",(903) 845-8003,http://parth9755.wixsite.com/regencyinn,,,3.5,241,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJbcqO7X4jNoYRZVX6etmG9X8
Woodlawn Hills Motel,"1204 US-79, Henderson, TX 75652",(903) 657-2511,https://www.woodlawnhillsmotel.us/,,,3.5,185,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJiRHTrm7JN4YRNb_ypWlZOhA
Harris Street RV Park,"Kilgore, TX 75662",(903) 984-5081,https://www.cityofkilgore.com/facilities/facility/details/Harris-Street-Park-6,,,5,6,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJq6qqNekxNoYRTM-KTK5KgMg
