Name,Address,Phone,Website,Email(s),Owner/Manager,Rating,Reviews,Google Maps URL
Americas Best Value Inn Lubbock E,"150 Slaton Rd, Lubbock, TX 79404",(806) 745-2515,https://www.sonesta.com/americas-best-value-inn/tx/lubbock/americas-best-value-inn-lubbock-e?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@redlion.com,,3.3,575,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJXwjUt1Vs_oYR-5rTw5ywTuE
Lone Star Inn Motel,"4801 Avenue Q, Lubbock, TX 79412",(806) 747-1671,https://www.lonestarinnmotellubbock.xyz/,,,3.2,169,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZdBfnxpt_oYRuVjDC5_UyEk
Quality Suites Lubbock Southwest,"5113 S Loop 289, Lubbock, TX 79424",(806) 224-1565,https://www.choicehotels.com/texas/lubbock/quality-inn-hotels/tx612?mc=llgoxxpx,,,3.9,506,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJVxhoX_Zy_oYRWVCID8Q04cM
Ashmore Inn & Suites,"4019 S Loop 289, Lubbock, TX 79423",(806) 785-0060,http://www.ashmoreinnlubbock.com/#/,,,3.9,700,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJd1XzU2Ny_oYRxgKApwL5IWs
Guesthouse Inn,"3815 21st St, Lubbock, TX 79410",(806) 791-0433,https://reservation.asiwebres.com/v5/RoomAvailability.aspx?id=7af60a3368824087a5ceb995ea0f38ce&lang=en&Curr=1,,,4,356,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQ-bBGK1y_oYR4TMjgFdPkb8
Best Inn Texas,"304 College Ave, Levelland, TX 79336",(806) 894-7335,https://www.bestinntexas.com/,,,4.2,193,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJD0IgPsfr_YYRXOKtFEGv_nY
Budget inn of Levelland,"308 N College Ave, Levelland, TX 79336",(806) 894-9679,http://www.budgetinnlevelland.com/,,,3.2,81,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ7Xw8kerr_YYR4a4is3n6qbw
Crescent Park Motel & Suites,"2021 Hall Ave, Littlefield, TX 79339",(806) 385-4464,https://www.crescentparkmotelsuiteslittlefield.com/,,,4.4,353,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJd8CfBusJAocRMN94IJt2wuE
Valley Motel,"1515 W American Blvd, Muleshoe, TX 79347",(806) 272-4279,http://valley-motel-muleshoe.edan.io/,,,4,120,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJGTW8fF5eAocRfCaHi1OlOEc
Slaton Harvey House,"400 Railroad Ave, Slaton, TX 79364",(806) 828-5900,https://slatonharveyhouse.com/,,,4.8,75,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJVRIZ3D1D_oYRoreonSIbZ14
